Date,Open,High,Low,Close,Adj Close,Volume
2016-09-28,77273.796875,77845.523438,77216.039063,77677.781250,77677.781250,661954700
2016-09-29,77807.687500,77857.312500,76792.820313,77076.796875,77076.796875,723473700
2016-09-30,76682.820313,76771.031250,76170.656250,76488.382813,76488.382813,527553900
2016-10-03,76924.117188,77444.757813,76924.117188,77225.390625,77225.390625,558086400
2016-10-04,77326.609375,77542.109375,76899.117188,77057.773438,77057.773438,830396400
2016-10-05,76712.851563,77970.773438,76484.843750,77853.648438,77853.648438,896864700
2016-10-06,78191.390625,78605.546875,77842.343750,77894.718750,77894.718750,742059700
2016-10-07,78102.031250,78500.398438,77676.062500,77975.992188,77975.992188,585471000
2016-10-10,78296.851563,78506.062500,77682.750000,77835.289063,77835.289063,783818400
2016-10-11,77773.523438,77889.546875,77280.273438,77643.593750,77643.593750,819857200
2016-10-12,77903.570313,78099.617188,77146.460938,77461.273438,77461.273438,803820200
2016-10-13,77469.726563,77602.203125,76612.523438,76810.312500,76810.312500,841758500
2016-10-14,77091.312500,77677.289063,76756.507813,77554.210938,77554.210938,716365800
2016-10-17,77418.460938,77675.578125,76991.210938,77437.578125,77437.578125,676226900
2016-10-18,77796.289063,78462.296875,77796.289063,78340.390625,78340.390625,867476300
2016-10-19,78675.882813,79277.562500,78543.539063,79209.851563,79209.851563,723690000
2016-10-20,79355.320313,79541.382813,79061.546875,79252.406250,79252.406250,723405700
2016-10-21,79310.890625,79335.257813,78711.750000,78843.656250,78843.656250,530769800
2016-10-24,79242.078125,80065.218750,79204.507813,79932.546875,79932.546875,569992000
2016-10-25,79914.906250,80290.929688,79360.312500,79433.312500,79433.312500,708706700
2016-10-26,79492.593750,79667.000000,79023.843750,79397.937500,79397.937500,768752700
2016-10-27,79343.257813,79492.539063,78641.156250,78739.171875,78739.171875,620518800
2016-10-28,78593.062500,78736.671875,78071.359375,78332.867188,78332.867188,303592300
2016-10-31,78558.953125,78861.132813,78196.523438,78536.171875,78536.171875,502316300
2016-11-01,78801.976563,78957.000000,77376.531250,77428.562500,77428.562500,714550800
2016-11-02,77341.070313,77611.937500,77155.796875,77171.593750,77171.593750,544906300
2016-11-03,77324.882813,77554.593750,76612.343750,76681.367188,76681.367188,569391500
2016-11-04,75805.468750,75992.226563,74238.812500,74267.171875,74267.171875,925536700
2016-11-07,75201.507813,75899.937500,75201.507813,75681.960938,75681.960938,672797200
2016-11-08,75646.296875,76413.320313,75193.406250,76367.789063,76367.789063,767560900
